iter	Passed	Remaining
0	107	215579
1	147	147688
2	210	139911
3	258	129129
4	302	120763
5	359	119345
6	415	118263
7	465	115867
8	503	111364
9	562	111889
10	621	112314
11	675	111922
12	705	107792
13	743	105508
14	788	104361
15	847	105109
16	906	105785
17	967	106493
18	1025	106957
19	1076	106589
20	1092	102976
21	1105	99400
22	1153	99139
23	1214	99953
24	1276	100818
25	1338	101646
26	1392	101737
27	1455	102491
28	1476	100371
29	1535	100806
30	1597	101478
31	1660	102123
32	1727	102962
33	1766	102157
34	1813	101810
35	1874	102245
36	1938	102848
37	1985	102505
38	2045	102849
39	2100	102923
40	2161	103279
41	2219	103488
42	2280	103798
43	2335	103824
44	2403	104427
45	2471	104984
46	2537	105447
47	2604	105935
48	2668	106230
49	2725	106288
50	2783	106377
51	2843	106528
52	2910	106917
53	2982	107482
54	3049	107831
55	3100	107624
56	3163	107850
57	3224	107975
58	3293	108342
59	3361	108674
60	3426	108922
61	3494	109246
62	3563	109559
63	3618	109474
64	3687	109760
65	3758	110139
66	3825	110370
67	3887	110462
68	3916	109593
69	3980	109747
70	4040	109788
71	4111	110107
72	4176	110235
73	4248	110580
74	4309	110622
75	4374	110748
76	4436	110786
77	4509	111111
78	4563	110961
79	4625	111001
80	4694	111221
81	4756	111255
82	4816	111238
83	4884	111417
84	4943	111373
85	4959	110371
86	5016	110301
87	5078	110333
88	5108	109692
89	5169	109707
90	5231	109744
91	5291	109746
92	5360	109913
93	5417	109850
94	5487	110041
95	5556	110209
96	5624	110334
97	5696	110554
98	5771	110816
99	5848	111123
100	5923	111375
101	5993	111524
102	6071	111823
103	6140	111941
104	6195	111805
105	6262	111889
106	6326	111931
107	6388	111924
108	6456	112002
109	6519	112023
110	6580	111990
111	6645	112026
112	6710	112058
113	6776	112113
114	6834	112023
115	6901	112085
116	6956	111951
117	6995	111577
118	7058	111574
119	7120	111548
120	7184	111561
121	7242	111479
122	7252	110669
123	7315	110680
124	7386	110794
125	7450	110815
126	7482	110352
127	7537	110236
128	7590	110096
129	7650	110051
130	7711	110016
131	7774	110014
132	7840	110057
133	7902	110043
134	7961	109981
135	8031	110076
136	8101	110166
137	8163	110152
138	8178	109501
139	8234	109403
140	8296	109385
141	8363	109428
142	8420	109350
143	8484	109353
144	8546	109332
145	8573	108876
146	8632	108817
147	8701	108889
148	8772	108984
149	8841	109039
150	8902	109017
151	8966	109015
152	9031	109029
153	9060	108605
154	9120	108564
155	9183	108555
156	9251	108607
157	9320	108665
158	9387	108691
159	9449	108669
160	9517	108710
161	9583	108733
162	9645	108698
