index,label,ltable_name,ltable_pinyin,match,rtable_name,rtable_pinyin,wifi
ws0,1,中国联通-鹿港小镇,zhongguoliantong-lugangxiaozhen,48753128,中国联通,zhongguoliantong,w0
ws1,1,LunYuCunZhuang.,LunYuCunZhuang.,B0FFH06KXK,轮雨村庄,lunyucunzhuang,w1
ws2,1,饺真欢迎您！,jiaozhenhuanyingnin！,B0FFI2QN81|92406609,饺真水饺青年路店,jiaozhenshuijiaoqingnianludian,w2
ws3,1,taoyuanvillage01,taoyuanvillage01,B0FFHGYI6O,桃园眷村朝阳大悦城店,taoyuanjuancunzhaoyangdayuechengdian,w3
ws4,1,MaanCoffee,MaanCoffee,6136256,漫咖啡朝阳大悦城店,mankafeizhaoyangdayuechengdian,w4
ws5,1,AppleStore,AppleStore,58478341,AppleStore苹果零售店朝阳大悦城店,AppleStorepingguolingshoudianzhaoyangdayuechengdian,w5
ws6,1,wujiekongjian-DYC-5G,wujiekongjian-DYC-5G,66066693,无界空间,wujiekongjian,w6
ws7,1,vika1,vika1,B0FFGSQ3RP|22391285,vika造型,vikazaoxing,w7
ws8,1,UYOUNG,UYOUNG,B0FFHGJLJ2,U-YOUNG悠漾造型,U-YOUNGyouyangzaoxing,w8
ws9,1,UYOUNG,UYOUNG,21050138,U-YOUNG悠漾造型,U-YOUNGyouyangzaoxing,w8
ws10,1,UYOUNG,UYOUNG,B0FFHF0Y6Y,悠漾造型,youyangzaoxing,w8
ws11,1,AEON-Free-Wifi,AEON-Free-Wifi,19277556,AEON 永旺超市朝阳大悦城店,AEON yongwangchaoshizhaoyangdayuechengdian,w9
ws12,1,AEON-Free-Wifi,AEON-Free-Wifi,6487913,永旺朝北大悦城店停车场,yongwangchaobeidayuechengdiantingchechang,w9
ws13,1,AEON-Free-Wifi,AEON-Free-Wifi,B0FFH9HTCW,永旺超市青年路,yongwangchaoshiqingnianlu,w9
ws14,1,AEON-Free-Wifi,AEON-Free-Wifi,B000A8WU61,永旺超市朝阳大悦城,yongwangchaoshizhaoyangdayuecheng,w9
ws15,1,ChateauStarRiver,ChateauStarRiver,B0FFJDKN6W|58067747,北京星河湾酒店,beijingxinghewanjiudian,w10
ws16,1,ChateauStarRiver,ChateauStarRiver,B000A9ORYE,星河湾酒店-大堂酒吧,xinghewanjiudian-datangjiuba,w10
ws17,1,ChateauStarRiver,ChateauStarRiver,95437150,北京星河湾·四季会酒店停车场,beijingxinghewan·sijihuijiudiantingchechang,w10
ws18,1,ChateauStarRiver,ChateauStarRiver,95733145,星河湾酒店停车场,xinghewanjiudiantingchechang,w10
ws19,1,ChateauStarRiver,ChateauStarRiver,95595575,星河湾酒店-停车场,xinghewanjiudian-tingchechang,w10
