ciming	['次米', '慈铭体检', 'cimic', '慈铭体检中心', '慈铭', '西米', 'cimit', 'cimilre', '慈铭体检电话', '刺明']
tangchaoktv	['唐朝开国皇上', '唐朝开国功臣', '唐朝盔甲', '唐朝酷刑', '唐朝开国名将', '糖潮ktv', '唐朝科举制度', '唐朝开元盛世', '唐朝ktv', '唐朝开放']
jindingxuan	['金鼎轩', '金鼎轩二公子大凡', '金鼎轩菜单', '金鼎轩二公子', '金鼎轩地坛店', '金鼎轩菜单及价格', '金鼎轩雍和宫店地址', '金鼎轩24小时营业', '金鼎轩团结湖店', '金鼎轩方庄店电话']
zizhuyezonghui2	['紫竹夜总会是干嘛的', '紫竹夜总会洗脸', '紫竹夜总会消费水平', '紫竹夜总会是几百', '紫竹夜总会好玩吗', '紫竹夜总会西直门', '紫竹夜总会王新月']
jiangtaiwuer	['姜泰伍', '将太无二', '将太无二菜单价目表', '将太无二北京店', '将太无二什么意思', '将太无二菜单', '将太无二什么档次', '将太无二是自助吗', '将太无二加盟费', '将太无加盟']
zizhuyezonghui8	['紫竹夜总会是干嘛的', '紫竹夜总会洗脸', '紫竹夜总会消费水平', '紫竹夜总会是几百', '紫竹夜总会好玩吗', '紫竹夜总会西直门', '紫竹夜总会王新月']
北京市党派团体办公楼	['北京市党派团体办公楼', '北京市党派团体办公楼服务管理中心']
MeiNianDaJianKang	['美年大健康', '美年大健康体检中心', '美年大健康体检中心官网查看报告', '美年大健康体检可信吗', '美年大健康体检中心报告查询app', '美年大健康体检中心电话', '美年大健康体检中心怎么样', '美年大健康官网', '美年大健康股票', '美年大健康招聘']
juelvbang	['倔驴帮']
lashangyin	['辣上瘾', '拉伤用什么药', '辣尚瘾烤鱼', '辣上瘾代理', '拉伤腰部怎么办恢复快', '辣尚瘾麻辣香锅加盟费多少', '拉伤用什么膏药比较好', '辣上瘾小吃', '拉伤用冰敷还是热敷', '辣上瘾加盟']
acfic	['acfun', 'acfun弹幕视频网', 'acg', 'ace', 'acf胶', 'acei', 'acfta', 'cfa', 'acfm', 'acfun吉祥物']
nongtangli	['浓汤', '弄堂', '浓汤宝', '浓汤宝对身体有害吗', '弄堂小笼包', '弄堂记忆', '浓汤怎么做', '浓糖', '弄堂是什么意思', '农糖']
CECEP	['cecilia', 'cect', 'ceci', 'cece', 'cecil', 'cecile', 'cec控制', 'cec是什么意思', 'cecs']
Tai_Shu_Xi	['泰叔赶海', '泰顺天气', '泰顺天气预报', '泰叔赶海视频', '泰叔赶海百家号', '泰舒达', '泰顺', '泰舒达说明书', '太熟悉家常菜', '泰叔']
yunhaiyao	['云海肴', '云海玉弓缘', '云海苑', '云海玉弓缘小说', '云海玉弓缘20集国语', '云海玉弓缘小说阅读', '云海肴菜单', '云海肴创始人', '云海玉弓缘电视剧', '云海玉弓缘在线观看']
yunledi	['晕了', '云雷造型', '云雷纹', '云雷窜', '云雷', '云乐', '云雷造型地址', '云雷灰', '云泪天雨']
shuimumicheng	['水木迷城密室逃脱攻略']
Sizzler	['sizzle', 'sizzler', 'sizzler餐厅', 'sizzler什么意思啊', 'sizzle是什么意思啊', 'sizzler是什么菜', 'sizzle it your way', 'sizzler food', 'sizzler时时乐西餐厅', 'sizzler餐厅收费标准']
水木迷城2	['水木迷城密室逃脱攻略', '水木迷你连续剧']
xizhimenbinguan	['西直门宾馆', '西直门宾馆电话', '西直门宾馆不对外营业', '西直门宾馆地址', '西直门宾馆预定', '西直门宾馆套间价格', '西直门宾馆官方网站', '西直门宾馆附近地铁站', '西直门宾馆 游泳', '西直门宾馆多少钱']
ROUCHUANWANGZONGDIAN	['肉串汪总店怎么样']
tangchaoKTV	['唐朝开国皇上', '唐朝开国功臣', '唐朝盔甲', '唐朝酷刑', '唐朝开国名将', '糖潮ktv', '唐朝科举制度', '唐朝开元盛世', '唐朝ktv', '唐朝开放']
聚点串吧=交大店	['聚点串吧交大店']
BJSFRBG	['北京市富人区在哪个区', '搬家沙发如何打包', '北京顺丰人工客服电话', '北京双飞软件有限公司', '北京市缝纫机制造厂', '被教唆犯如何量刑', '北京首房认定标准', '北京市丰瑞宾馆', '北京萨弗瑞尔影视']
tpyzq	['太平洋', '太平洋保险', '太平洋汽车网', '太平洋汽车', '太平洋战争', '天蓬元帅', '太平洋咖啡', '太平洋车险', '太平洋保险公司', 'type']
gymboree	['gymboree']
bianjinggongheguo	['边境共和国(新奥店)', '边境共和国 大众点评', '边境共和国餐厅菜单', '边境共和国(荟聚购物中心)']
HuXiaoShanZhuang~1F	['呼啸山庄', '呼啸山庄简介', '呼啸山庄采用什么叙述方法', '呼啸山庄读后感', '呼啸山庄电影', '呼啸山庄经典语录', '呼啸山庄作者', '呼啸山庄人物关系图', '呼啸山庄好词好句', '呼啸山庄人物分析']
jindingxuan_5g	['金鼎轩', '金鼎轩二公子大凡', '金鼎轩菜单', '金鼎轩二公子', '金鼎轩地坛店', '金鼎轩菜单及价格', '金鼎轩雍和宫店地址', '金鼎轩24小时营业', '金鼎轩团结湖店', '金鼎轩方庄店电话']
